id,libelle,description,dateDebut,dateFin,dureValidite,cost,budgetUsed,nbrPage,countContact,deactivatedByGroup,hash,meOnly,lastUpdateStatusAt,createdAt,updatedAt,status_id,campaign_type_permission_id,groupe_id,campaign_type,numero_semaine,annee,mois,event
1,Notif groupe 1 2023-01-01,saison - groupe 1,2023-01-01 08:00:00+00:00,2023-01-03 02:00:00+00:00,48,1197,916,4,399,False,23a488f603b8dfd3,False,2023-01-01T10:00:00+01:00,2022-12-31T08:00:00+01:00,2023-01-01T10:00:00+01:00,4,2,1,NOTIF,52,2023,1,normal
2,Promo groupe 1 2023-01-15,normal - groupe 1,2023-01-15 08:00:00+00:00,2023-01-17 02:00:00+00:00,48,363,282,2,121,False,132d14dabb1d3997,False,2023-01-15T10:00:00+01:00,2023-01-14T08:00:00+01:00,2023-01-15T10:00:00+01:00,4,1,1,PROMO,2,2023,1,normal
3,Notif groupe 1 2023-01-29,normal - groupe 1,2023-01-29 08:00:00+00:00,2023-01-31 02:00:00+00:00,48,816,661,1,204,False,1e41327a90b0d9f5,False,2023-01-29T10:00:00+01:00,2023-01-28T08:00:00+01:00,2023-01-29T10:00:00+01:00,4,2,1,NOTIF,4,2023,1,normal
4,Promo groupe 1 2023-02-12,normal - groupe 1,2023-02-12 08:00:00+00:00,2023-02-14 02:00:00+00:00,48,789,583,3,263,False,ac2180dae32b1f78,False,2023-02-12T10:00:00+01:00,2023-02-11T08:00:00+01:00,2023-02-12T10:00:00+01:00,4,1,1,PROMO,6,2023,2,normal
5,Notif groupe 1 2023-02-26,normal - groupe 1,2023-02-26 08:00:00+00:00,2023-02-28 02:00:00+00:00,48,936,795,4,234,False,db3440532a65cf5b,False,2023-02-26T10:00:00+01:00,2023-02-25T08:00:00+01:00,2023-02-26T10:00:00+01:00,4,2,1,NOTIF,8,2023,2,normal
6,Promo groupe 1 2023-03-12,saison - groupe 1,2023-03-12 08:00:00+00:00,2023-03-14 02:00:00+00:00,48,1242,975,1,621,False,68b1d081554b1dcf,False,2023-03-12T10:00:00+01:00,2023-03-11T08:00:00+01:00,2023-03-12T10:00:00+01:00,4,1,1,PROMO,10,2023,3,normal
7,Notif groupe 1 2023-03-26,saison - groupe 1,2023-03-26 08:00:00+00:00,2023-03-28 02:00:00+00:00,48,688,532,1,172,False,67831483e9d1577a,False,2023-03-26T10:00:00+01:00,2023-03-25T08:00:00+01:00,2023-03-26T10:00:00+01:00,4,2,1,NOTIF,12,2023,3,normal
8,Promo groupe 1 2023-04-09,saison - groupe 1,2023-04-09 08:00:00+00:00,2023-04-11 02:00:00+00:00,48,1732,1563,1,866,False,e8439d7e910bd170,False,2023-04-09T10:00:00+01:00,2023-04-08T08:00:00+01:00,2023-04-09T10:00:00+01:00,4,1,1,PROMO,14,2023,4,normal
9,Notif groupe 1 2023-04-23,saison - groupe 1,2023-04-23 08:00:00+00:00,2023-04-25 02:00:00+00:00,48,2004,1705,3,501,False,6a26d4a7939b7612,False,2023-04-23T10:00:00+01:00,2023-04-22T08:00:00+01:00,2023-04-23T10:00:00+01:00,4,2,1,NOTIF,16,2023,4,normal
10,Promo groupe 1 2023-05-07,normal - groupe 1,2023-05-07 08:00:00+00:00,2023-05-09 02:00:00+00:00,48,555,494,4,185,False,17c4d1f2d2b9cc73,False,2023-05-07T10:00:00+01:00,2023-05-06T08:00:00+01:00,2023-05-07T10:00:00+01:00,4,1,1,PROMO,18,2023,5,normal
11,Notif groupe 1 2023-05-21,normal - groupe 1,2023-05-21 08:00:00+00:00,2023-05-23 02:00:00+00:00,48,186,166,3,93,False,6257b29dcbce0a37,False,2023-05-21T10:00:00+01:00,2023-05-20T08:00:00+01:00,2023-05-21T10:00:00+01:00,4,2,1,NOTIF,20,2023,5,normal
12,Promo groupe 1 2023-06-04,normal - groupe 1,2023-06-04 08:00:00+00:00,2023-06-06 02:00:00+00:00,48,472,401,1,118,False,b55ed66dcfe84fe4,False,2023-06-04T10:00:00+01:00,2023-06-03T08:00:00+01:00,2023-06-04T10:00:00+01:00,4,1,1,PROMO,22,2023,6,normal
